 INFO  Accepting connections at http://localhost:51809
 HTTP  28/07/2025 18:16:25 ::1 GET /
 HTTP  28/07/2025 18:16:25 ::1 Returned 200 in 20 ms
 HTTP  28/07/2025 18:16:26 ::1 GET /hex.css?v=20231223_160018
 HTTP  28/07/2025 18:16:26 ::1 GET /style.css?v=20230829_065938
 HTTP  28/07/2025 18:16:26 ::1 GET /css/screenshot-import.css
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 4 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 4 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 5 ms
 HTTP  28/07/2025 18:16:26 ::1 GET /script.js?v=20230829_065938
 HTTP  28/07/2025 18:16:26 ::1 GET /main.js?v=20240821_105515
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/index.js
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 3 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 3 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 4 ms
 HTTP  28/07/2025 18:16:26 ::1 GET /hex.png
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 4 ms
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/screenshot-import-assistant.js
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 3 ms
 HTTP  28/07/2025 18:16:26 ::1 GET /js/lib/opencv-loader.js
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/image-processing-pipeline.js
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/matching-engine.js
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 3 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 2 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 2 ms
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/image-loader.js
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/auto-cropper.js
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/image-preprocessor.js
 HTTP  28/07/2025 18:16:26 ::1 GET /js/screenshot-import/template-manager.js
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 2 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 2 ms
 HTTP  28/07/2025 18:16:26 ::1 Returned 200 in 3 ms
